,SA2_NAME16,Longitude,Latitude,X,Y,Remoteness,IRSD,PAP,PPHD,PSCD,PEMD,PLCS,PCS,PVOD,PVTD,PI,PCOB,PD,PML
260,Merrimac,153.3730804,-28.05084727,1874135.69,-3320536.807,1,5,1,0.068965517,0.091954023,0.16091954,0.091954023,0.068965517,0.264367816,0.137931034,0.038095238,0.805970149,0.024423338,0.784126984
261,Robina,153.3931901,-28.07078411,1875730.156,-3322993.545,1,8,1,0.092657343,0.076923077,0.090909091,0.047202797,0.050699301,0.188811189,0.090909091,0.028119508,0.867905575,0.021094927,0.818980668
262,Varsity Lakes,153.4110643,-28.08888176,1877140.39,-3325218.153,1,6,0.993071594,0.099056604,0.075471698,0.061320755,0.04245283,0.051886792,0.16509434,0.080188679,0.073903002,0.78978389,0.023575639,0.685142417
263,Ashmore,153.3763736,-27.98879161,1875495.049,-3313872.974,1,6,1,0.074380165,0.082644628,0.082644628,0.041322314,0.090909091,0.173553719,0.107438017,0.074074074,0.746383799,0.06364513,0.80359147
264,Molendinar,153.360707,-27.97402242,1874238.755,-3312041.58,1,5,0.883116883,0.157142857,0.085714286,0.085714286,0.042857143,0.1,0.242857143,0.085714286,0.038961039,0.88700565,0.033898305,0.718614719
265,Parkwood,153.3629542,-27.95458662,1874781.107,-3309972.618,1,7,1,0.104166667,0.114583333,0.072916667,0.041666667,0.09375,0.197916667,0.104166667,0.133928571,0.761597938,0.06185567,0.770833333
266,Southport - North,153.3961116,-27.96513841,1877788.425,-3311609.082,1,2,0.958525346,0.097087379,0.087378641,0.087378641,0.106796117,0.126213592,0.223300971,0.126213592,0.101382488,1,0.079051383,0.556067588
267,Southport - South,153.405028,-27.98362703,1878333.482,-3313742.263,1,4,1,0.1,0.1,0.057142857,0.057142857,0.142857143,0.228571429,0.107142857,0.074534161,0.944297082,0.021220159,0.629399586
268,Benowa,153.3858313,-28.00769615,1876085.24,-3316059.133,1,8,1,0.083333333,0.052083333,0.072916667,0.03125,0.104166667,0.229166667,0.052083333,0,0.681818182,0.022727273,0.609865471
269,Bundall,153.4048039,-28.01111624,1877849.135,-3316712.461,1,9,1,0,0.070175439,0.052631579,0.052631579,0.052631579,0.140350877,0.070175439,0,0.740554156,0,0.701449275
270,Main Beach,153.4259154,-27.95641404,1880797.849,-3311111.063,1,9,0.826086957,0.083032491,0.075812274,0.061371841,0.068592058,0.111913357,0.220216606,0.090252708,0,0.938650307,0,0.768115942
271,Surfers Paradise,153.4232816,-28.00258281,1879766.83,-3316065.64,1,4,0.996309963,0.083032491,0.075812274,0.061371841,0.068592058,0.111913357,0.220216606,0.090252708,0.073800738,0.932984293,0.037696335,0.437884379
272,Darra - Sumner,152.9479922,-27.56760404,1841274.25,-3261967.732,1,3,0.788321168,0.138888889,0.111111111,0.125,0.125,0.152777778,0.305555556,0.152777778,0.087591241,1,0.037894737,0.666666667
273,Durack,152.9855848,-27.58908961,1844545.564,-3264844.043,1,2,0.727272727,0.116071429,0.151785714,0.071428571,0.071428571,0.125,0.285714286,0.142857143,0.045454545,0.930354796,0.047306176,0.290909091
274,Forest Lake - Doolandella,152.9657047,-27.61800608,1842152.949,-3267681.591,1,6,0.839207048,0.122807018,0.135964912,0.105263158,0.096491228,0.10745614,0.280701754,0.149122807,0.072687225,0.897054165,0.06271777,0.591776799
275,Inala - Richlands,152.9628963,-27.59176944,1842313.934,-3264801.226,1,1,0.699658703,0.134146341,0.18597561,0.131097561,0.18902439,0.228658537,0.420731707,0.240853659,0.174061433,0.910425844,0.049926579,0.189988623
276,Oxley (Qld),152.9758766,-27.56162734,1844061.716,-3261729.827,1,8,1,0.116666667,0.05,0.083333333,0.05,0.091666667,0.216666667,0.1,0.071146245,1,0.020338983,0.93544137
277,Wacol,152.9219648,-27.58861731,1838419.18,-3263860.699,1,1,0.74,0.295454545,0.181818182,0.181818182,0.159090909,0.159090909,0.386363636,0.295454545,0.38,0.722063037,0.103151862,0.406666667
